wl,n
0.2000,2.0995340404927
0.2110,1.9237810224832
0.2226,1.8341349738398
0.2348,1.776289536485
0.2477,1.7346876629582
0.2613,1.7031248188004
0.2757,1.6782033457622
0.2908,1.6582177474407
0.3068,1.6417191451909
0.3236,1.6280321161065
0.3414,1.6164460218736
0.3601,1.6066340998291
0.3799,1.5981965673115
0.4008,1.5909215352233
0.4228,1.5846322706009
0.4460,1.5791595543047
0.4705,1.5743726317659
0.4964,1.5701684006057
0.5236,1.566488746962
0.5524,1.5632332290826
0.5827,1.5603651640754
0.6147,1.5578233868887
0.6485,1.5555669495991
0.6841,1.5535662621497
0.7217,1.5517847759899
0.7614,1.5501971440614
0.8032,1.5487843699056
0.8473,1.5475230063809
0.8938,1.5463961954683
0.9429,1.5453871094047
0.9947,1.5444833333523
1.049,1.5436777433093
1.107,1.5429455538449
1.168,1.5422899506446
1.232,1.541703096762
1.300,1.5411703216164
1.371,1.5406940227844
1.446,1.5402620204778
1.526,1.5398657531006
1.610,1.539507050908
1.698,1.5391816814888
1.791,1.5388826405689
1.890,1.5386046817828
1.993,1.5383506842736
2.103,1.5381108762897
2.218,1.5378876549973
2.340,1.5376750196153
2.469,1.5374713556666
2.604,1.5372762917788
2.747,1.5370851268959
2.898,1.5368963014792
3.057,1.5367081524217
3.225,1.5365178478252
3.403,1.5363226507106
3.589,1.5361230183611
3.787,1.5359128931199
3.995,1.5356925800767
4.214,1.5354590904815
4.445,1.5352093191914
4.690,1.5349388654952
4.947,1.5346475650193
5.219,1.5343294539626
5.506,1.5339816512611
5.808,1.5336010979236
6.127,1.5331818799578
6.464,1.5327188241459
6.819,1.5322077292203
7.193,1.5316425840987
7.588,1.531015165381
8.005,1.5303179711163
8.445,1.5295427433444
8.909,1.5286803890514
9.398,1.5277208924913
9.914,1.5266510865383
10.46,1.5254539267322
11.03,1.5241314837243
11.64,1.5226326101026
12.28,1.5209654030674
12.95,1.5191142457386
13.66,1.517032028059
14.41,1.5146947663949
15.21,1.5120418639027
16.04,1.5091103791053
16.92,1.5057971361015
17.85,1.5020585665129
18.83,1.4978457022604
19.87,1.4930556276713
20.96,1.4876663381635
22.11,1.4815502603764
23.32,1.4746112663513
24.61,1.466608312656
25.96,1.4575165908138
27.38,1.4470991533256
28.89,1.4349735082473
30.47,1.4210107921382
32.15,1.4045666734976
33.91,1.3853368654521
35.78,1.3623113653703
37.74,1.3347899817691
39.81,1.3011505588075
42.00,1.2591161544448
