wl,n
0.667,2.15
0.714,2.25
0.769,2.40
0.833,2.56
0.909,2.69
1.00,2.82
1.05,2.87
1.11,2.95
1.18,2.99
1.25,3.05
1.33,3.14
1.43,3.23
1.54,3.36
1.67,3.51
1.82,3.64
2.00,3.83
2.11,3.95
2.22,4.03
2.35,4.06
2.50,4.16
2.67,4.28
2.86,4.40
3.08,4.53
3.33,4.67
3.64,4.79
4.00,4.95
4.44,5.11
5.00,5.30
5.71,5.45
6.67,6.05
8.00,7.12
10.0,8.42
11.1,9.55
12.5,11.0
14.3,13.0
16.7,15.2
20.0,18.1
22.2,20.0
25.0,22.5
28.6,25.6
33.3,30.8
40.0,39.1
44.4,45.1
50.0,52.7
57.1,62.5
66.7,75.1
80.0,92.0
100,116
125,144
154,176
200,219
286,286

wl,k
0.667,3.88
0.714,4.11
0.769,4.34
0.833,4.57
0.909,4.80
1.00,5.11
1.05,5.28
1.11,5.48
1.18,5.70
1.25,5.98
1.33,6.30
1.43,6.65
1.54,7.05
1.67,7.49
1.82,8.01
2.00,8.63
2.11,8.95
2.22,9.30
2.35,9.73
2.50,10.2
2.67,10.8
2.86,11.4
3.08,12.1
3.33,12.9
3.64,13.9
4.00,15.1
4.44,16.6
5.00,18.5
5.71,21.0
6.67,24.4
8.00,29.0
10.0,35.7
11.1,39.5
12.5,43.8
14.3,49.0
16.7,55.5
20.0,64.6
22.2,70.7
25.0,78.1
28.6,87.8
33.3,101
40.0,117
44.4,127
50.0,139
57.1,153
66.7,170
80.0,191
100,219
125,250
154,279
200,317
286,375
